Image	x	y	width	height	score
5D0S5FVG.jpg	2046.95	1073.8	118.272	364.716	-0.44513
5D0S5FVG.jpg	551.491	1094.31	45.0319	139.229	-0.499982
5D0S5FVG.jpg	3482.91	1103.72	45.5447	136.975	-0.519519
5D0S5FVI.jpg	111.343	1104.77	79.7158	235.1	-0.222877
5D0S5FVI.jpg	105.183	444.162	157.794	482.953	-0.259835
5D0S5FVI.jpg	1057.98	1132.23	47.7301	138.524	-0.487877
5D0S5FVJ.jpg	1747.77	1089.31	92.2347	272.436	-0.268239
5D0S5FVJ.jpg	4404.8	1134.08	55.4541	169.3	-0.392957
5D0S5FVJ.jpg	1119.77	1071.8	55.4542	176.719	-0.59689
5D0S5FW5.jpg	303.434	934.948	61.5943	174.545	-0.30418
5D0S5FW5.jpg	1710.67	1122.47	42.3105	134.877	-0.411862
5D0S5FW5.jpg	1729.17	1068.06	96.0525	290.425	-0.462537
5D0S5FW5.jpg	3898.28	804.004	48.0413	159.39	-0.511133
5D0S5FXM.jpg	1607.58	636.703	49.9183	162.036	0.0481876
5D0S5FXY.jpg	1810.5	1235.1	74.0347	225.713	-0.102534
5D0S5FXY.jpg	1774.98	1301.71	51.9263	157.209	-0.182458
5D0S5FXY.jpg	1768.66	1199.35	75.7452	233.707	-0.320198
5D0S5FY2.jpg	94.2577	571.986	50.1719	160.097	-0.228737
5D0S5FY5.jpg	2160.43	1213.81	45.4189	144.108	0.980392
5D0S5FY5.jpg	2196.73	1220.13	45.9292	143.993	-0.256184
5D0S5FY5.jpg	1515.82	867.064	49.0889	134.839	-0.269608
5D0S5FY5.jpg	2147.11	955.308	133.401	411.391	-0.441894
5D0S5FY5.jpg	4456.36	1031.05	67.7866	210.753	-0.667235
5D0S5FY6.jpg	4000.32	1011.6	42.6084	120.511	-0.247429
5D0S5FY6.jpg	3873.33	979.525	69.3418	207.371	-0.493062
5D0S5FY6.jpg	3226.26	514.681	45.812	135.627	-0.620176
5D0S5FYB.jpg	82.9098	543.958	46.7876	133.896	-0.610918
5D0S5FYF.jpg	561.275	1211.98	39.1784	111.267	1.18375
5D0S5FYF.jpg	2216.51	1198.32	38.3823	109.688	0.5385
5D0S5FYF.jpg	602.48	1210.58	37.6584	113.346	0.362829
5D0S5FYG.jpg	3229.65	508.257	42.7166	134.782	-0.433249
5D0S5FYG.jpg	2522.2	1134.56	51.3538	151.575	-0.472255
5D0S5FYK.jpg	3210.5	555.444	39.1973	116.214	-0.349769
5D0S5FYM.jpg	523.54	704.646	45.2079	133.001	-0.267636
5D0S5FYM.jpg	84.1145	586.315	43.5336	140.076	-0.56953
5D0S5FYN.jpg	2924.53	1100.62	45.6514	136.204	-0.485424
5D0S5FYR.jpg	85.5371	571.756	53.7934	159.133	-0.318
5D0S5FYY.jpg	3228.61	507.855	42.6919	137.367	-0.452778
5D0S5FYY.jpg	3502.25	1025.51	53.9863	155.234	-0.511762
5D0S5FZ7.jpg	4269.57	1268.15	82.6538	237.879	-0.104728
5D0S5FZ7.jpg	631.407	703.403	61.9587	187.555	-0.513028
5D0S5FZB.jpg	4032.49	1079.05	56.0303	187.833	0.223515
5D0S5FZD.jpg	2146.26	753.793	37.2236	116.729	-0.392435
5D0S5FZD.jpg	1339.2	682.091	96.4385	276.907	-0.472638
5D0S5FZG.jpg	2278.79	1090.73	44.0608	139.703	-0.413299
5D0S5FZG.jpg	419.886	1056.55	50.0121	139.783	-0.413888
5D0S5FZG.jpg	3830.06	1137.74	52.2141	166.378	-0.416991
5D0S5FZG.jpg	4656.97	1139.08	35.4331	116.148	-0.467908
5D0S5FZG.jpg	2144	1555.16	79.6882	241.837	-0.623072
5D0S5FZH.jpg	3774.19	328.007	162.187	463.533	-0.289761
5D0S5FZH.jpg	3876.08	1308.27	98.1521	273.729	-0.455615
5D0S5FZN.jpg	1176.96	1067.5	60.3502	177.716	-0.300027
5D0S5FZO.jpg	2649.19	1073	57.135	166.49	-0.312932
5D0S5FZO.jpg	683.93	1139.37	68.3707	208.914	-0.474549
5D0S5FZT.jpg	220.874	923.183	91.0566	278.424	-0.705999
5D0S5FZV.jpg	2154.84	756.842	37.7468	111.13	-0.53195
5D0S5FZZ.jpg	2144.95	753.611	37.9866	118.493	-0.548435
5D0S5G03.jpg	4386.98	1113.98	37.5298	113.782	-0.391204
5D0S5G03.jpg	4696.15	1115.61	41.1206	115.653	-0.561821
5D0S5G05.jpg	996.9	1255.08	150.081	400.707	0.491873
5D0S5G05.jpg	1073.83	1605.75	44.2566	129.731	-0.376432
5D0S5G07.jpg	2832.55	951.538	122.503	349.865	0.268641
5D0S5G07.jpg	1702.7	844.596	202.745	632.048	-0.028955
5D0S5G09.jpg	3897.82	953.747	120.141	348.623	-0.25173
5D0S5G0J.jpg	236.443	1233.53	65.7599	206.096	-0.104059
5D0S5G0J.jpg	776.133	1417.87	38.4234	121.825	-0.242376
5D0S5G0J.jpg	201.744	1305.34	47.6992	137.627	-0.448874
5D0S5G0J.jpg	1070.19	1230.57	75.7362	244.474	-0.45017
5D0S5G0J.jpg	2146.1	655.918	36.6436	120.856	-0.462734
